排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
31,0,梦幻花园（少女心 ）,深圳市创梦天地科技有限公司,19119,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI4LzIwMTgxMTI4MTcxODM1NDcyNTA0LmpwZw==,单机榜,4882925,-,无
32,0,真实卡车模拟器,天津羽仁科技有限公司,24244,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTU1NjU3NDI4NjQ0MC5qcGc=,单机榜,6747490,-,无
33,0,黑洞大作战,深圳梦域网络科技有限公司,54444,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwODE0LzIwMTgwODE0MTQzNTMwMjUwNDczNS5qcGc=,单机榜,6536565,-,无
34,0,校花超级美发,培萍工作室,23722,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWFkNDFiNTFiMTMyYjFjZjY2YTM2NGE4MmRhZWVmYmIxJnJlZj1odHRwJTNBJTJGJTJGaC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZoLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGd2glMjUzRDUxMiUyNTJDNTEyJTJGc2lnbiUzRGExMGFhMDc2YmIwMDNhZjM0ZGVmZDQ2NTA0MThlYTY5JTJGMjY3ZjllMmYwNzA4MjgzODg4ZTk5YzZiYjU5OWE5MDE0ZDA4ZjFlZC5qcGc=,单机榜,1947676,-,无
35,0,忍者必须死3,杭州炎魂网络科技有限公司,48603,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNjEwLzIwMTgwNjEwMDA0MDE0MTcxNjIzNS5qcGc=,单机榜,6304315,-,无
36,0,狙神荣耀,北京寻梦科技有限公司,14976,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDAyLzIwMTgwNDAyMTgyNzIwMTg1NzU3LnBuZw==,单机榜,4936941,-,无
37,0,恐怖奶奶-胆小勿入,金萪哲信（深圳）科技有限公司,68396,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTEyLzIwMTgxMTEyMTEzNzM0NDc0MDQwNi5qcGc=,单机榜,6770283,-,无
38,0,三国杀,杭州游卡网络技术有限公司,11897,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDMwLzIwMTgxMDMwMTMzNDQzNzY2NjY1LmpwZw==,单机榜,1953547,-,无
39,0,逃出银河系-木筏明日求生,深圳市天逸之夏网络科技有限公司,66928,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTI5LzIwMTgxMTI5MTQwMjUyNDk5Mzg0MC5wbmc=,单机榜,6760929,-,无
40,0,冲出停机场,全点信息科技软件,12671,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT00JnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPWIwZWQ4Y2NlYjdjY2E3OWMxYjE1NGVjMTFiZjM3ZDdiJnJlZj1odHRwJTNBJTJGJTJGZS5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZlLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRmNjYzM3OTMxMGE1NWIzMTk3ZmQyNGM3OTQ5YTk4MjI2Y2ZmYzE3OTcuanBn,单机榜,2671142,-,无
41,0,跳舞的线,北京猎豹网络科技有限公司,12725,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTE2LzIwMTgxMTE2MTQwNjMxNTE3NTEwMi5wbmc=,单机榜,4957077,-,无
42,0,消灭星星全新版,掌游天下（北京）信息技术股份有限公司,6780,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDM5OTg4NF8xNTQxNzM2NzE3LzI1Ng==,单机榜,64145,掌游天下（北京）信息技术股份有限公司,https://www.qimai.cn/company/product/id/30702
43,0,疯狂吃鸡,南京齐聚元翔科技有限公司,145368,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTAyLzIwMTgxMTAyMTEyOTA5MjMwMjA3OS5qcGc=,单机榜,6750775,-,无
44,0,奶块,深圳市抱一网络科技有限公司,7765,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI1LzIwMTgwOTI1MTkxNzU5NDE5NDA3OS5qcGc=,单机榜,4928218,-,无
45,0,王牌大作战,掌游天下（北京）信息技术股份有限公司,3896,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTI4LzIwMTgwOTI4MTIxMzMyNjY2NzgyNy5wbmc=,单机榜,3704983,掌游天下（北京）信息技术股份有限公司,https://www.qimai.cn/company/product/id/30702
