排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
77,新进榜,乱斗群星,,-,https://android-artworks.25pp.com/fs08/2018/10/31/0/109_9885184a9a510823c2ee438345b45c07_con_130x130.png,游戏,6653252,-,无
78,-21,汽车 坠毁 拆除 德比 模拟器 2018,,-,,游戏,6705225,-,无
79,42,台球游戏,掌盟工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMDExMjFfMjEzNjEyODZfMTQzNTc0ODMyMy85Ng==,游戏,343930,-,无
80,新进榜,Jet Set Go Rewards: Win Cash & Gift Cards,"Trpz.com, Inc.",-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1prNmN2ZDlfQ3FqaUVqUDNaWXNLbl9tUWFRaW02bmJHTU5tMjJpTkJoa3gyUXNjWllVOThxVTdleDJHZ05DYzhjeTQ9czE4MA==,游戏,2196407,-,无
81,-43,Link It Rich! Hot Vegas Casino Slots FREE,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1lmMEJsZnMyQVlHNUJLa2ItcmQtOHlBUGlTbVFQTFdwV21MMFlRRGtzRnBBemhnRXgyaE1KR29TcFBEQU1xbHBXQkNzPXMxODA=,游戏,6818154,-,无
82,34,Merge Plane,Merger Games,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDExYjc5NzQzMjIxMzgzMTE4LndlYnA=,游戏,5997240,-,无
83,新进榜,Cookie Jelly Match,,-,https://android-artworks.25pp.com/fs08/2018/10/16/0/109_e4556d7f402e5fd2b4cd7722b393853f_con_130x130.png,游戏,6674425,-,无
84,-57,Golf Orbit,,-,https://android-artworks.25pp.com/fs08/2018/11/30/3/109_cc86c8a70ad0f5c6baa36ec93b3e4998_con_130x130.png,游戏,6607410,-,无
85,121,Trivia Crack 2,,-,https://android-artworks.25pp.com/fs08/2018/11/11/8/109_70af13860b27adee2ca8f8b6b18951d3_con_130x130.png,游戏,6600659,-,无
86,新进榜,大脑拼图,来自互联网,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDFjOTFhYjVhYTI0NjE4NThjLndlYnA=,游戏,6580442,-,无
87,21,Ocean Nomad: Survival,,-,https://android-artworks.25pp.com/fs08/2018/08/21/7/109_d9b4689909b139f7b237ce1704409ce7_con_130x130.png,游戏,6470625,-,无
88,新进榜,Dinosaur Simulator Games 2017,Tap - Free Games,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3AzLnFoaW1nLmNvbS90MDExNWYzMDdiMmQ1YWMwZDk1LndlYnA=,游戏,4227207,-,无
89,141,度假酒店,,-,https://android-artworks.25pp.com/fs08/2018/12/04/2/109_5d04a13bf42621c8ea3f3f225b45ce69_con_130x130.png,游戏,6739468,-,无
90,175,Crayola Create and Play,,-,https://gcontent-cdn.aso100.com/pic/view_gcontent/type/icon/source/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1F2bzdKMG1MU0lxUTRTYV9MTXBFUWpNRjJoNW9tWlJUblFJQmVmRFlTMkM5ZUVNZWZqeExCQk5XOFV1bEVER1ZUbTA9czE4MA==,游戏,6769263,-,无
91,1,汽车 开车 学校 2019 ： 真实 停车处 模拟器,,-,,游戏,6762086,-,无
92,新进榜,Open World Driver - Taxi Simulator 3D Free Racing,,-,https://android-artworks.25pp.com/fs08/2018/12/05/0/109_c24cc1039a77455aae052a738265282e_con_130x130.png,游戏,6722456,-,无
93,新进榜,Word Guru Puzzle,,-,https://android-artworks.25pp.com/fs08/2018/11/24/7/109_70bba5d1c76730ba883ee7a670875f23_con_130x130.png,游戏,6744842,-,无
94,-49,New Jewel Blast Match 3 Game,海沙工作室,-,https://android-artworks.25pp.com/fs08/2018/08/20/8/109_f92dc0a15d6b3acb37fbae2792bd1c42_con_130x130.png,游戏,5675551,-,无
95,新进榜,verydice,SquareTwo Inc,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl81MjU4NDUwNl8xNTEyNTc4MTQxLzI1Ng==,游戏,2194760,-,无
96,13,Perk Scratch & Win!,来自谷歌市场,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL3BwLm15YXBwLmNvbS9tYV9pY29uLzAvaWNvbl8xMTk5NDY3Nl8yMDk5NzUyOF8xNDMwMzAxMjAyLzI1Ng==,游戏,1360967,-,无
97,新进榜,Bingo Blitz,海沙工作室,-,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2NkbjAwLmJhaWR1LWltZy5jbi90aW1nP3ZzYXBwJnNpemU9YjE1MF8xNTAmaW1ndHlwZT0zJnF1YWxpdHk9MTAwJmVyJnNlYz0wJmRpPTM5Y2UxZWZkMTlkZWMxZGUxZGE1NzZmYWZhM2VjYjhmJnJlZj1odHRwJTNBJTJGJTJGZC5oaXBob3Rvcy5iZGltZy5jb20mc3JjPWh0dHAlM0ElMkYlMkZkLmhpcGhvdG9zLmJkaW1nLmNvbSUyRndpc2VnYW1lJTJGcGljJTJGaXRlbSUyRjdhZDhiYzNlYjEzNTMzZmFkOTk2NGQ3N2FmZDNmZDFmNDEzNDViNDMuanBn,游戏,560146,-,无
